age_range,3months_use_per_week,life_satisfaction_0to10
1,1,7.446808510638298
1,2,7.786516853932584
1,3,7.318181818181818
1,4,7.694444444444445
1,5,8.5
2,1,7.092783505154639
2,2,7.318965517241379
2,3,7.428571428571429
2,4,7.75
2,5,9.0
3,1,7.14245810055866
3,2,7.236686390532545
3,3,7.5
3,4,7.590909090909091
4,1,7.158945117605132
4,2,7.16271186440678
4,3,6.8
4,4,7.277777777777778
4,5,5.0
5,1,7.169040247678018
5,2,7.017605633802817
5,3,6.722222222222222
5,4,7.296296296296297
5,5,6.0
6,1,7.097857142857142
6,2,6.931288343558283
6,3,6.947368421052632
6,4,7.0
6,5,6.916666666666667
7,1,7.217557251908397
7,2,7.156729131175468
7,3,7.115384615384615
7,4,6.764705882352941
7,5,6.555555555555555
8,1,7.337696335078534
8,2,7.257843137254902
8,3,6.917808219178082
8,4,7.197530864197531
8,5,6.64
