,city_county,zipcode,year_of_birth,age_range,used_info_devices_past_yesno,time_since_last_use,3months_use_per_week,email_outside_work_yesno,3months_product_service_lookup,purchased_online_yesno,sold_online_yesno,download_software_nogames,checked_wiki,health_info_lookup,online_banking,mobile_payment,chat_online,download_news,online_courses,online_entertainment,used_cloud_storage,check_job_info,remote_work,photo_video_editing_3months,used_social_media,post_content_online,expressed_politics_online,online_appointment,created_projects_with_devices,v30_1,v30_2,v30_3,v31_1,v31_2,v31_3,body_damage_from_device_use,life_satisfaction_0to10,keep_up_with_tech_0to10,v35_1,v35_2,v35_3,v35_4,v35_5,v35_6,v35_7,v35_8,v35_9,v35_10,v36_1,v36_2,v36_3,v36_4,v36_5,v36_6,v36_7,v36_8,v36_9,v36_10,pandemic_onsite_or_online_vaccine,v38_1,v38_2,v38_3,v38_4,v38_5,v38_6,v38_7,disabled_yesno,education_level,employment_industry,employment_position,work_need_internet_percentage,replaced_by_AI_yesno,receive_work_messages_after_hours,ethnic_background,gender,wei,wei2
0,21,892,73,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,3,99,99,99,1,10,9,4,5,2,99,99,99,99,99,99,99,5,2,1,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,16,3,100,2,1,3,2,0.885,0.1399185
1,13,621,84,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,99,99,99,3,10,10,97,99,99,99,99,99,99,99,99,99,4,6,2,3,5,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,15,3,50,4,2,3,2,1.451,0.7979049
2,3,334,80,4,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,3,9,10,1,2,3,4,5,6,7,8,9,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,4,7,3,5,100,4,1,3,1,1.1987,1.73583747
3,9,363,86,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,3,99,99,99,3,10,10,1,2,3,4,5,6,7,8,99,99,1,2,3,4,5,6,7,8,99,99,2,1,2,99,99,99,99,99,2,7,19,8,10,3,2,1,2,1.5601,0.91047436
4,17,950,44,8,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,3,99,99,99,3,8,8,6,7,4,9,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,2,1,2,99,99,99,99,99,4,7,23,99,999,99,99,3,1,0.2981,0.06948711
5,3,334,69,5,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,3,99,99,99,3,7,8,1,3,9,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,2,1,2,99,99,99,99,99,4,6,3,4,100,3,1,1,1,1.0747,1.55627307
6,19,318,65,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,3,99,99,99,99,3,7,7,1,6,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,99,99,3,1,2,99,99,99,99,99,4,7,3,2,90,2,1,3,1,0.8103,0.38270469
7,10,508,71,5,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,7,6,2,9,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,4,7,7,6,100,3,2,3,2,1.0826,1.4642165
8,1,236,61,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,8,8,1,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,99,99,99,2,1,2,3,99,99,99,99,4,7,20,99,999,99,99,3,2,1.3433,3.49204268
9,2,114,43,8,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,3,9,8,3,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,2,1,2,99,99,99,99,99,4,7,13,2,90,3,1,3,2,0.868,1.383158
10,20,601,70,5,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,3,99,99,99,2,7,7,6,99,99,99,99,99,99,99,99,99,1,2,3,4,5,7,8,9,99,99,3,1,2,99,99,99,99,99,4,7,16,3,70,3,1,3,2,5.0598,1.4369832
11,14,920,67,5,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,3,99,99,99,2,10,5,6,99,99,99,99,99,99,99,99,99,1,2,3,4,7,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,20,99,999,99,99,3,2,0.9063,0.79926597
12,5,730,43,8,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,3,99,99,99,3,9,9,9,99,99,99,99,99,99,99,99,99,1,2,3,6,7,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,23,99,999,99,99,3,1,0.6045,0.73452795
13,10,510,63,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,1,9,97,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,2,8,16,3,30,4,1,1,1,1.1575,1.56551875
14,6,830,60,6,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,3,99,99,99,99,2,7,6,97,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,9,99,99,3,1,2,99,99,99,99,99,4,8,16,3,100,3,1,4,2,1.1222,2.00054594
15,6,820,71,5,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,3,99,99,99,3,8,10,97,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,2,8,16,3,90,3,1,3,1,0.8686,1.54845322
16,21,893,52,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,99,99,99,1,8,8,1,2,3,4,6,7,9,99,99,99,1,2,4,6,7,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,15,3,60,4,1,3,2,0.9549,0.15096969
17,4,427,77,4,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,97,99,99,6,99,99,2,7,8,1,2,4,5,6,99,99,99,99,99,1,2,4,5,6,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,3,5,80,3,1,3,2,1.2057,2.17194798
18,4,412,70,5,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,3,99,99,99,2,6,7,6,99,99,99,99,99,99,99,99,99,1,2,4,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,14,4,30,4,2,3,1,1.2348,2.22436872
19,21,893,63,5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,3,99,99,99,2,8,6,1,3,4,5,6,7,8,9,99,99,1,3,4,5,6,7,8,9,99,99,3,1,2,99,99,99,99,99,4,6,13,2,80,3,1,3,1,0.7881,0.12459861
20,6,828,66,5,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,1,8,9,6,9,99,99,99,99,99,99,99,99,1,3,4,6,7,9,99,99,99,99,2,1,2,99,99,99,99,99,4,7,6,5,70,3,2,3,2,1.3025,2.32196675
21,2,112,72,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,9,10,9,99,99,99,99,99,99,99,99,99,1,3,4,5,6,7,8,99,99,99,3,1,2,99,99,99,99,99,4,7,3,2,50,4,1,3,1,0.7705,1.22779175
22,4,427,60,6,1,1,4,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,2,3,99,99,99,2,8,6,2,3,4,5,6,9,99,99,99,99,2,3,4,5,6,9,99,99,99,99,3,1,2,99,99,99,99,99,4,6,17,3,20,3,1,4,2,1.0927,1.96838978
23,15,884,75,4,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,3,6,6,2,3,4,6,99,99,99,99,99,99,2,3,4,6,9,99,99,99,99,99,3,1,2,99,99,99,99,99,2,7,9,8,20,3,1,3,2,1.1256,0.13304592
24,12,653,88,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,3,99,99,99,2,7,6,2,99,99,99,99,99,99,99,99,99,2,3,4,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,17,3,80,3,98,3,2,1.4109,1.03404861
25,18,203,58,6,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,1,3,99,99,99,99,1,10,9,9,99,99,99,99,99,99,99,99,99,2,3,4,5,6,7,8,99,99,99,2,1,2,99,99,99,99,99,4,6,13,5,90,4,1,2,2,0.8349,0.33337557
26,1,234,79,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,3,99,99,99,2,7,8,97,99,99,99,99,99,99,99,99,99,6,3,4,5,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,6,3,100,2,1,3,1,0.6582,1.71105672
27,15,880,77,4,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,3,99,99,99,99,1,5,8,9,8,99,99,99,99,99,99,99,99,3,9,4,6,99,99,99,99,99,99,3,1,2,99,99,99,99,99,2,8,9,6,80,98,1,1,1,1.2947,0.15303354
28,21,893,43,8,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,97,1,1,1,2,1,1,1,2,3,99,99,99,2,7,7,3,99,99,99,99,99,99,99,99,99,9,3,5,7,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,23,99,999,99,99,3,1,0.3261,0.05155641
29,5,730,58,6,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,3,99,99,99,2,8,8,2,4,99,99,99,99,99,99,99,99,2,4,5,99,99,99,99,99,99,99,3,1,2,3,99,99,99,99,4,7,17,3,100,3,1,1,1,0.984,1.1956584
30,6,801,54,6,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,1,6,7,1,2,3,4,5,6,7,99,99,99,3,4,5,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,18,3,0,4,2,3,2,1.1222,2.00054594
31,2,105,65,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,3,99,99,99,2,5,9,1,2,99,99,99,99,99,99,99,99,3,4,5,6,7,8,9,99,99,99,2,1,2,99,99,99,99,99,4,8,16,3,70,4,1,3,2,1.5069,2.40124515
32,19,316,46,8,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,3,99,99,99,2,6,7,1,99,99,99,99,99,99,99,99,99,3,4,5,6,7,8,9,99,99,99,3,1,2,99,99,99,99,99,4,7,3,2,80,3,1,1,1,0.45,0.212535
33,20,600,82,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,3,99,99,99,99,3,7,9,1,99,99,99,99,99,99,99,99,99,3,4,5,8,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,19,6,100,4,1,98,2,1.4818,0.4208312
34,3,334,91,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,3,99,99,99,3,8,8,2,99,99,99,99,99,99,99,99,99,3,4,5,7,8,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,22,99,999,99,99,3,2,1.378,1.9954818
35,19,316,82,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,3,99,99,99,2,7,8,1,6,5,99,99,99,99,99,99,99,1,6,5,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,3,6,70,3,2,3,1,0.5841,0.27587043
36,1,231,52,6,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,3,99,99,99,2,8,8,1,2,99,99,99,99,99,99,99,99,4,6,5,3,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,16,3,70,2,1,3,1,1.3154,3.41951384
37,8,310,45,8,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,3,99,99,99,2,8,6,1,2,3,4,7,99,99,99,99,99,1,2,6,7,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,13,3,100,2,1,1,1,0.4761,0.28880226
38,1,220,65,5,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,3,99,99,99,3,8,8,97,99,99,99,99,99,99,99,99,99,1,2,6,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,3,3,70,2,1,3,1,0.4936,1.28316256
39,2,114,59,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,3,99,99,99,2,7,8,1,9,6,99,99,99,99,99,99,99,4,2,6,9,5,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,16,3,100,2,1,3,1,1.2969,2.06661015
40,15,880,64,5,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,3,99,99,99,2,9,6,2,6,1,3,9,99,99,99,99,99,1,4,6,7,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,16,3,75,3,1,3,2,1.0448,0.12349536
41,3,334,75,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,3,99,99,99,3,8,9,97,99,99,99,99,99,99,99,99,99,1,4,6,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,3,3,100,3,1,4,1,1.0976,1.58943456
42,3,330,50,7,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,3,99,99,99,3,8,4,3,4,6,7,99,99,99,99,99,99,3,4,6,7,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,6,23,99,999,99,99,3,1,0.8101,1.17310581
43,19,316,80,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,2,8,8,2,3,6,99,99,99,99,99,99,99,1,5,6,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,13,3,100,3,1,4,1,2.4613,1.16247199
44,4,420,70,5,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,3,99,99,99,2,8,9,2,99,99,99,99,99,99,99,99,99,1,5,6,9,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,7,3,70,2,1,4,1,1.2348,2.22436872
45,1,243,68,5,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,3,99,99,99,2,7,5,1,2,3,5,6,7,9,99,99,99,3,5,6,7,9,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,3,2,70,3,1,3,1,1.3655,3.5497538
46,4,429,70,5,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,99,99,99,1,8,9,2,1,3,9,99,99,99,99,99,99,7,8,6,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,7,4,100,3,1,3,2,1.1779,2.12186906
47,17,950,41,8,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,3,99,99,99,2,8,6,2,5,9,99,99,99,99,99,99,99,4,3,7,8,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,23,99,999,99,99,3,2,0.4039,0.09414909
48,5,711,62,5,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,3,99,99,99,1,7,6,5,4,99,99,99,99,99,99,99,99,5,4,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,6,4,80,3,2,3,2,1.2027,1.46140077
49,8,302,86,3,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,3,99,99,99,3,7,8,3,9,99,99,99,99,99,99,99,99,4,5,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,3,3,100,3,1,1,1,1.64,0.994824
50,7,262,998,4,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,97,99,99,6,99,99,3,7,5,97,99,99,99,99,99,99,99,99,99,4,5,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,1,98,0,3,2,3,1,1.1874,0.58146978
51,14,931,62,5,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,3,99,99,99,99,1,5,5,97,99,99,99,99,99,99,99,99,99,4,5,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,2,6,23,99,999,99,99,3,2,0.9063,0.79926597
52,19,316,998,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,3,99,99,99,2,7,7,6,1,2,3,99,99,99,99,99,99,4,6,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,16,5,100,4,1,3,2,2.9641,1.39994443
53,13,603,76,4,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,3,99,99,99,2,7,7,2,99,99,99,99,99,99,99,99,99,5,6,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,9,6,30,4,2,3,1,1.0207,0.56128293
54,8,303,57,6,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,3,99,99,99,3,7,6,97,99,99,99,99,99,99,99,99,99,4,8,7,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,9,6,0,1,2,1,2,0.7422,0.45021852
55,19,316,56,6,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,3,99,99,99,99,1,8,8,3,4,8,9,99,99,99,99,99,99,3,4,8,9,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,3,5,100,3,2,3,2,0.8186,0.38662478
56,15,880,57,6,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,99,1,99,99,2,5,5,3,4,99,99,99,99,99,99,99,99,3,4,8,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,7,6,100,2,2,3,2,0.7039,0.08320098
57,2,116,47,7,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,3,99,99,99,2,7,6,97,99,99,99,99,99,99,99,99,99,4,5,8,7,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,23,99,999,99,99,1,2,0.9686,1.5434641
58,6,830,56,6,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,1,3,99,99,99,99,2,5,5,97,99,99,99,99,99,99,99,99,99,4,5,8,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,7,4,20,2,1,3,1,1.0891,1.94153857
59,2,111,95,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,99,99,99,2,6,10,2,3,5,99,99,99,99,99,99,99,4,7,8,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,21,99,999,99,99,3,2,1.8032,2.8733992
60,1,244,73,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,3,99,99,99,3,9,8,97,99,99,99,99,99,99,99,99,99,5,1,9,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,2,7,10,4,100,3,1,3,1,0.6582,1.71105672
61,2,104,75,4,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,3,99,99,99,99,1,8,3,6,99,99,99,99,99,99,99,99,99,4,3,9,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,18,6,50,4,1,3,2,0.8512,1.3563872
62,9,369,41,8,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,3,99,99,99,1,8,10,3,7,9,99,99,99,99,99,99,99,3,4,9,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,23,99,999,99,99,3,1,0.5313,0.31006668
