v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30_1,v30_2,v30_3,v31_1,v31_2,v31_3,v32,v33,v34,v35_1,v35_2,v35_3,v35_4,v35_5,v35_6,v35_7,v35_8,v35_9,v35_10,v36_1,v36_2,v36_3,v36_4,v36_5,v36_6,v36_7,v36_8,v36_9,v36_10,v37,v38_1,v38_2,v38_3,v38_4,v38_5,v38_6,v38_7,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei,wei2
21,892,73,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,3,99,99,99,1,10,9,4,5,2,99,99,99,99,99,99,99,5,2,1,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,16,3,100,2,1,3,2,.885,.1399185
13,621,84,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,99,99,99,3,10,10,97,99,99,99,99,99,99,99,99,99,4,6,2,3,5,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,15,3,50,4,2,3,2,1.451,.7979049
3,334,80,4,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,3,9,10,1,2,3,4,5,6,7,8,9,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,4,7,3,5,100,4,1,3,1,1.1987,1.73583747
9,363,86,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,3,99,99,99,3,10,10,1,2,3,4,5,6,7,8,99,99,1,2,3,4,5,6,7,8,99,99,2,1,2,99,99,99,99,99,2,7,19,8,10,3,2,1,2,1.5601,.91047436
17,950,44,8,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,3,99,99,99,3,8,8,6,7,4,9,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,2,1,2,99,99,99,99,99,4,7,23,99,999,99,99,3,1,.2981,.06948711
3,334,69,5,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,3,99,99,99,3,7,8,1,3,9,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,2,1,2,99,99,99,99,99,4,6,3,4,100,3,1,1,1,1.0747,1.55627307
19,318,65,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,3,99,99,99,99,3,7,7,1,6,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,99,99,3,1,2,99,99,99,99,99,4,7,3,2,90,2,1,3,1,.8103,.38270469
10,508,71,5,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,7,6,2,9,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,4,7,7,6,100,3,2,3,2,1.0826,1.4642165
1,236,61,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,8,8,1,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,99,99,99,2,1,2,3,99,99,99,99,4,7,20,99,999,99,99,3,2,1.3433,3.49204268
2,114,43,8,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,3,9,8,3,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,2,1,2,99,99,99,99,99,4,7,13,2,90,3,1,3,2,.868,1.383158
20,601,70,5,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,3,99,99,99,2,7,7,6,99,99,99,99,99,99,99,99,99,1,2,3,4,5,7,8,9,99,99,3,1,2,99,99,99,99,99,4,7,16,3,70,3,1,3,2,5.0598,1.4369832
14,920,67,5,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,3,99,99,99,2,10,5,6,99,99,99,99,99,99,99,99,99,1,2,3,4,7,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,20,99,999,99,99,3,2,.9063,.79926597
5,730,43,8,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,3,99,99,99,3,9,9,9,99,99,99,99,99,99,99,99,99,1,2,3,6,7,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,23,99,999,99,99,3,1,.6045,.73452795
10,510,63,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,1,9,97,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,2,8,16,3,30,4,1,1,1,1.1575,1.56551875
6,830,60,6,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,3,99,99,99,99,2,7,6,97,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,9,99,99,3,1,2,99,99,99,99,99,4,8,16,3,100,3,1,4,2,1.1222,2.00054594
6,820,71,5,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,3,99,99,99,3,8,10,97,99,99,99,99,99,99,99,99,99,1,2,3,4,5,6,7,8,9,99,3,1,2,99,99,99,99,99,2,8,16,3,90,3,1,3,1,.8686,1.54845322
21,893,52,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,99,99,99,1,8,8,1,2,3,4,6,7,9,99,99,99,1,2,4,6,7,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,15,3,60,4,1,3,2,.9549,.15096969
4,427,77,4,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,97,99,99,6,99,99,2,7,8,1,2,4,5,6,99,99,99,99,99,1,2,4,5,6,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,3,5,80,3,1,3,2,1.2057,2.17194798
4,412,70,5,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,3,99,99,99,2,6,7,6,99,99,99,99,99,99,99,99,99,1,2,4,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,14,4,30,4,2,3,1,1.2348,2.22436872
21,893,63,5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,3,99,99,99,2,8,6,1,3,4,5,6,7,8,9,99,99,1,3,4,5,6,7,8,9,99,99,3,1,2,99,99,99,99,99,4,6,13,2,80,3,1,3,1,.7881,.12459861
