"","iso2c","iso3c","country","date","internet_users_ratio","gdp_capita","employment_ratio"
"1","AW","ABW","Aruba",1990,0,11638.7337057728,NA
"2","AW","ABW","Aruba",1991,0,12850.2157123975,NA
"3","AW","ABW","Aruba",1992,0,13657.6706444765,NA
"4","AW","ABW","Aruba",1993,0,14970.1523419526,NA
"5","AW","ABW","Aruba",1994,0,16675.2784883673,NA
"6","AW","ABW","Aruba",1995,0,17140.4333687405,NA
"7","AW","ABW","Aruba",1996,2.768382663,17375.2253063755,NA
"8","AW","ABW","Aruba",1997,NA,18713.4253880988,NA
"9","AW","ABW","Aruba",1998,NA,19742.3167386832,NA
"10","AW","ABW","Aruba",1999,4.506179098,19833.8267458639,NA
"11","AW","ABW","Aruba",2000,15.44282295,21026.1670909022,NA
"12","AW","ABW","Aruba",2001,17.1,20911.1927670907,NA
"13","AW","ABW","Aruba",2002,18.8,21375.269123446,NA
"14","AW","ABW","Aruba",2003,20.8,22050.589873287,NA
"15","AW","ABW","Aruba",2004,23,24105.5241207717,NA
"16","AW","ABW","Aruba",2005,25.4,24978.2216741187,NA
"17","AW","ABW","Aruba",2006,28,25832.9255649671,NA
"18","AW","ABW","Aruba",2007,30.9,27665.2994801174,NA
"19","AW","ABW","Aruba",2008,52,29011.6390567532,NA
"20","AW","ABW","Aruba",2009,58,25740.7702303087,NA
"21","AW","ABW","Aruba",2010,62,24452.5887394376,NA
"22","AW","ABW","Aruba",2011,69,26043.1563253011,NA
"23","AW","ABW","Aruba",2012,74,25611.1757666902,NA
"24","AF","AFG","Afghanistan",1990,0,NA,NA
"25","AF","AFG","Afghanistan",1991,0,NA,43.256
"26","AF","AFG","Afghanistan",1992,0,NA,43.244
"27","AF","AFG","Afghanistan",1993,0,NA,43.207
"28","AF","AFG","Afghanistan",1994,0,NA,43.162
"29","AF","AFG","Afghanistan",1995,0,NA,43.125
"30","AF","AFG","Afghanistan",1996,NA,NA,43.071
"31","AF","AFG","Afghanistan",1997,NA,NA,43.031
"32","AF","AFG","Afghanistan",1998,NA,NA,43.007
"33","AF","AFG","Afghanistan",1999,NA,NA,43.003
"34","AF","AFG","Afghanistan",2000,NA,NA,43.007
